code,name,market
002602,世纪华通,sz
600160,巨化股份,sh
600673,东阳光,sh
002138,顺络电子,sz
601698,中国卫通,sh
000021,深科技,sz
159368,创业板新能源ETF,sz
601615,明阳智能,sh
603606,东方电缆,sh
002429,兆驰股份,sz
601166,兴业银行,sh
600498,烽火通信,sh
000831,中国稀土,sz
603920,世运电路,sh
600089,特变电工,sh
560090,证券ETF汇添富,sh
000063,中兴通讯,sz
000776,广发证券,sz
601600,中国铝业,sh
159516,半导体设备ETF,sz
601728,中国电信,sh
600143,金发科技,sh
601020,华钰矿业,sh
002202,金风科技,sz
601211,国泰海通,sh
159957,创业板ETF华夏,sz
600489,中金黄金,sh
603659,璞泰来,sh
002600,领益智造,sz
002384,东山精密,sz
600114,东睦股份,sh
000977,浪潮信息,sz
600584,长电科技,sh
603296,华勤技术,sh
603799,华友钴业,sh
002851,麦格米特,sz
